,id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
20363,20363,urban,4,0.79,35,dim,rainy,False,False,afternoon,False,True,3.0,0.45
24776,24776,rural,2,0.5,35,daylight,clear,False,True,afternoon,True,False,1.0,0.17
11256,11256,rural,1,0.51,70,daylight,rainy,True,False,afternoon,True,False,1.0,0.44
9953,9953,rural,4,0.88,70,daylight,foggy,False,True,afternoon,True,True,2.0,0.62
1283,1283,highway,4,0.07,60,daylight,foggy,False,True,evening,True,True,2.0,0.35
33603,33603,highway,1,0.03,35,daylight,clear,False,False,morning,True,False,2.0,0.05
7599,7599,urban,1,0.86,35,daylight,foggy,False,True,morning,True,True,2.0,0.41
16686,16686,rural,4,0.62,60,daylight,foggy,False,False,morning,True,True,0.0,0.54
38119,38119,urban,1,0.29,25,daylight,rainy,True,False,afternoon,True,False,1.0,0.18
8639,8639,rural,2,0.53,35,night,rainy,False,True,afternoon,True,True,2.0,0.52
21260,21260,highway,3,0.61,60,daylight,clear,True,True,afternoon,False,False,1.0,0.43
6833,6833,rural,1,0.82,60,dim,foggy,False,False,evening,False,False,1.0,0.59
1649,1649,highway,3,0.75,25,daylight,foggy,True,True,evening,True,False,0.0,0.39
9901,9901,highway,1,0.13,25,night,clear,True,True,morning,True,False,1.0,0.21
6309,6309,highway,1,0.39,70,night,clear,True,True,evening,False,True,2.0,0.5
17646,17646,urban,3,0.18,45,daylight,foggy,False,True,afternoon,False,False,1.0,0.12
28129,28129,urban,1,0.65,35,night,foggy,True,False,morning,False,True,2.0,0.45
31617,31617,rural,1,0.86,35,dim,rainy,False,False,evening,False,True,2.0,0.32
16429,16429,highway,2,0.16,45,daylight,clear,True,False,afternoon,False,False,0.0,0.11
1021,1021,highway,4,0.14,70,dim,foggy,False,True,evening,False,False,1.0,0.28
8339,8339,highway,3,0.58,60,night,foggy,True,True,morning,False,True,1.0,0.69
6033,6033,urban,1,0.54,35,dim,foggy,False,False,evening,True,True,0.0,0.24
25368,25368,urban,1,0.88,45,daylight,clear,False,True,afternoon,False,True,2.0,0.32
39751,39751,highway,3,0.67,25,dim,rainy,True,False,evening,True,False,3.0,0.42
29681,29681,rural,1,0.26,35,daylight,clear,True,False,evening,False,False,1.0,0.09
35540,35540,rural,3,0.54,35,daylight,rainy,False,True,afternoon,False,False,2.0,0.15
2386,2386,highway,4,0.39,35,night,clear,True,False,afternoon,True,True,1.0,0.44
4465,4465,rural,3,0.04,35,dim,clear,True,True,evening,True,False,2.0,0.06
40294,40294,highway,4,0.57,45,night,clear,True,True,evening,True,False,1.0,0.51
28524,28524,rural,1,0.72,70,daylight,clear,False,False,afternoon,False,True,2.0,0.29
20410,20410,highway,1,0.51,45,daylight,rainy,True,False,afternoon,False,False,2.0,0.23
1254,1254,urban,2,0.1,25,dim,foggy,True,True,morning,True,True,1.0,0.06
28773,28773,highway,2,0.77,25,daylight,rainy,True,True,afternoon,False,False,0.0,0.28
8129,8129,highway,2,0.57,35,dim,clear,False,True,morning,False,False,0.0,0.13
23284,23284,highway,2,0.16,60,daylight,clear,True,True,afternoon,True,True,1.0,0.24
39458,39458,rural,4,0.75,25,dim,rainy,True,True,evening,False,True,0.0,0.34
42074,42074,rural,2,0.73,35,dim,clear,True,False,afternoon,False,False,1.0,0.17
10427,10427,highway,4,0.78,70,daylight,clear,False,True,morning,True,False,1.0,0.42
19731,19731,urban,2,0.18,70,daylight,rainy,True,False,morning,True,True,1.0,0.32
12398,12398,urban,3,0.7,35,daylight,clear,False,False,morning,True,True,1.0,0.22
30892,30892,urban,1,0.9,45,dim,foggy,False,False,evening,False,True,1.0,0.31
510,510,urban,1,0.01,35,daylight,clear,True,True,afternoon,False,True,1.0,0.06
1017,1017,rural,2,0.47,60,dim,clear,False,False,evening,True,True,2.0,0.2
32225,32225,highway,3,0.59,60,daylight,foggy,False,True,morning,True,False,3.0,0.53
11019,11019,highway,1,0.55,35,daylight,clear,True,True,morning,True,False,1.0,0.19
43086,43086,highway,2,0.04,35,night,clear,False,False,afternoon,False,True,0.0,0.22
29990,29990,rural,1,0.64,70,dim,foggy,True,True,afternoon,True,False,2.0,0.56
16977,16977,rural,4,0.48,70,daylight,foggy,True,True,afternoon,False,False,1.0,0.49
7110,7110,rural,2,0.57,25,dim,rainy,True,False,morning,True,False,2.0,0.29
13335,13335,urban,2,0.3,25,dim,clear,True,True,morning,True,False,0.0,0.04
24194,24194,urban,4,0.81,35,daylight,foggy,False,True,afternoon,False,False,2.0,0.42
38355,38355,urban,2,0.95,60,daylight,foggy,True,True,afternoon,False,False,3.0,0.65
41695,41695,urban,1,0.59,45,night,rainy,True,False,morning,True,False,1.0,0.51
26498,26498,rural,1,0.75,60,dim,clear,True,False,afternoon,False,True,2.0,0.39
5929,5929,rural,1,0.85,60,night,clear,False,True,afternoon,False,True,1.0,0.67
11476,11476,urban,3,0.02,60,dim,clear,True,False,morning,False,False,1.0,0.24
41990,41990,urban,1,0.67,45,daylight,rainy,False,True,evening,True,True,1.0,0.27
4824,4824,rural,3,0.65,60,daylight,clear,True,False,evening,True,True,2.0,0.34
37383,37383,highway,3,0.32,35,dim,foggy,False,False,evening,False,True,2.0,0.13
42206,42206,highway,2,0.65,70,daylight,foggy,False,True,afternoon,True,False,1.0,0.58
28027,28027,urban,1,0.24,35,daylight,rainy,True,False,morning,False,False,1.0,0.19
29523,29523,highway,4,0.82,25,daylight,rainy,True,True,evening,True,True,0.0,0.4
21337,21337,urban,3,0.67,25,daylight,foggy,True,True,evening,True,False,3.0,0.43
18581,18581,highway,4,0.69,35,night,clear,False,True,afternoon,False,False,1.0,0.32
6741,6741,rural,3,0.25,60,night,clear,True,True,evening,True,False,1.0,0.2
24705,24705,rural,3,0.88,35,daylight,rainy,True,False,evening,False,False,3.0,0.35
43301,43301,rural,2,0.92,60,dim,foggy,True,False,afternoon,True,True,2.0,0.53
34843,34843,rural,4,0.24,35,dim,clear,False,False,morning,False,True,2.0,0.15
2190,2190,urban,2,0.3,70,dim,clear,True,False,morning,True,False,1.0,0.27
16652,16652,urban,4,0.6,45,dim,rainy,False,False,afternoon,False,True,1.0,0.24
23467,23467,urban,3,0.8,45,night,clear,False,True,evening,False,False,2.0,0.39
13692,13692,rural,4,0.29,25,dim,foggy,True,False,afternoon,True,True,1.0,0.18
40971,40971,rural,4,0.92,25,dim,clear,False,False,afternoon,False,True,3.0,0.35
4250,4250,urban,2,0.68,45,dim,foggy,True,True,morning,True,True,2.0,0.35
20392,20392,urban,2,0.26,25,dim,clear,False,True,evening,False,True,1.0,0.15
31748,31748,rural,1,0.18,35,dim,clear,True,True,morning,False,False,0.0,0.06
18467,18467,highway,2,0.39,25,daylight,rainy,True,True,evening,True,False,0.0,0.34
13254,13254,rural,1,0.72,45,dim,foggy,True,False,evening,True,False,1.0,0.32
17024,17024,urban,3,0.01,25,night,foggy,False,True,evening,False,True,1.0,0.31
18717,18717,highway,3,0.39,35,night,clear,False,False,morning,True,True,2.0,0.36
15645,15645,rural,2,0.69,25,daylight,foggy,True,True,evening,True,True,1.0,0.26
16430,16430,urban,4,0.24,60,daylight,clear,True,True,afternoon,False,True,1.0,0.26
16203,16203,urban,1,0.06,70,dim,rainy,True,False,afternoon,False,True,2.0,0.34
10583,10583,urban,3,0.23,35,night,foggy,False,False,afternoon,True,False,2.0,0.34
31716,31716,rural,3,0.87,60,night,clear,False,True,evening,False,True,2.0,0.71
13008,13008,highway,1,0.82,60,daylight,foggy,True,False,evening,False,False,0.0,0.72
26617,26617,urban,1,0.4,35,dim,rainy,True,True,morning,True,False,1.0,0.19
31965,31965,urban,3,0.51,45,daylight,rainy,False,False,morning,True,False,2.0,0.25
40577,40577,highway,4,0.14,45,daylight,clear,True,False,morning,True,True,1.0,0.04
29864,29864,rural,2,0.55,35,night,foggy,False,True,evening,True,False,2.0,0.56
43150,43150,rural,4,0.51,25,dim,rainy,False,True,evening,False,False,1.0,0.23
10460,10460,rural,1,0.51,35,dim,clear,True,True,morning,False,False,1.0,0.12
19978,19978,rural,3,0.31,35,dim,rainy,True,False,morning,True,False,1.0,0.21
16374,16374,urban,1,0.24,45,daylight,rainy,True,True,afternoon,False,False,1.0,0.17
3777,3777,highway,1,0.56,45,night,clear,False,True,afternoon,False,False,1.0,0.46
37700,37700,urban,1,0.8,25,daylight,rainy,True,True,evening,True,False,3.0,0.47
23210,23210,urban,2,0.44,45,daylight,foggy,True,True,evening,False,False,0.0,0.24
18173,18173,rural,4,0.6,60,night,foggy,False,True,afternoon,True,True,2.0,0.72
15870,15870,urban,2,0.81,45,daylight,foggy,True,False,evening,False,False,1.0,0.35
18917,18917,rural,4,0.52,70,dim,rainy,True,True,afternoon,False,True,2.0,0.49
31892,31892,highway,1,0.51,60,daylight,foggy,True,False,morning,True,True,1.0,0.46
40534,40534,urban,2,0.84,60,daylight,clear,False,True,morning,True,False,0.0,0.44
33293,33293,rural,3,0.65,70,night,rainy,True,False,evening,True,True,4.0,0.73
32955,32955,urban,3,0.35,70,daylight,clear,True,False,morning,False,False,1.0,0.2
2982,2982,highway,1,0.32,60,dim,rainy,True,True,afternoon,False,False,2.0,0.41
31694,31694,highway,1,0.72,60,dim,foggy,True,True,morning,True,True,2.0,0.46
26411,26411,rural,4,0.47,60,dim,rainy,True,True,morning,True,False,1.0,0.4
12851,12851,rural,1,0.58,45,daylight,clear,True,True,evening,False,True,1.0,0.19
28914,28914,rural,1,0.63,45,daylight,rainy,True,False,evening,True,False,2.0,0.4
1280,1280,rural,1,0.71,70,night,foggy,False,False,evening,False,False,2.0,0.71
7159,7159,urban,2,0.04,35,daylight,clear,False,False,evening,False,False,0.0,0.03
17211,17211,highway,3,0.33,25,dim,foggy,False,True,evening,False,True,1.0,0.22
34426,34426,highway,4,0.49,45,daylight,clear,True,False,afternoon,False,True,2.0,0.09
28202,28202,highway,3,0.68,35,night,clear,False,True,morning,False,False,0.0,0.43
18824,18824,rural,4,0.31,25,dim,rainy,True,False,afternoon,True,True,0.0,0.21
34153,34153,highway,2,0.14,25,night,rainy,False,False,afternoon,False,False,0.0,0.31
17146,17146,rural,1,0.32,70,dim,rainy,False,False,evening,False,False,1.0,0.3
14502,14502,urban,1,0.12,70,dim,rainy,True,False,afternoon,True,False,0.0,0.39
12609,12609,urban,3,0.67,70,daylight,foggy,False,False,evening,True,True,1.0,0.46
3246,3246,rural,4,0.78,25,dim,rainy,True,False,afternoon,True,False,1.0,0.37
31144,31144,highway,2,0.62,25,dim,foggy,True,False,evening,True,False,3.0,0.37
19626,19626,highway,3,0.62,60,daylight,clear,False,True,afternoon,True,False,1.0,0.54
10858,10858,rural,1,0.28,45,daylight,clear,True,True,evening,False,False,0.0,0.13
15931,15931,rural,2,0.16,45,dim,foggy,False,True,morning,False,False,2.0,0.08
38719,38719,rural,3,0.59,25,night,rainy,True,False,morning,True,False,0.0,0.48
27209,27209,rural,3,0.71,60,dim,clear,False,False,afternoon,True,False,2.0,0.41
10137,10137,highway,1,0.1,45,daylight,clear,False,False,evening,False,False,0.0,0.06
35442,35442,highway,3,0.17,45,daylight,clear,True,True,morning,False,False,0.0,0.06
7690,7690,highway,1,0.1,70,dim,foggy,True,False,afternoon,True,True,2.0,0.37
5427,5427,rural,3,0.14,25,night,clear,False,False,afternoon,True,False,0.0,0.29
8848,8848,highway,4,0.94,25,dim,clear,False,True,evening,True,True,1.0,0.33
28277,28277,highway,4,0.69,45,dim,foggy,False,True,morning,False,True,1.0,0.32
37929,37929,rural,3,0.19,35,dim,foggy,False,True,afternoon,True,True,1.0,0.09
35863,35863,highway,3,0.42,35,daylight,clear,True,False,evening,False,False,1.0,0.12
38299,38299,highway,1,0.46,70,daylight,clear,True,False,evening,False,False,1.0,0.37
27324,27324,urban,4,0.29,45,dim,clear,False,True,morning,True,True,2.0,0.15
1306,1306,rural,3,0.56,70,dim,rainy,False,True,evening,True,False,1.0,0.53
11846,11846,urban,4,0.26,25,dim,rainy,False,False,afternoon,True,False,1.0,0.19
40894,40894,rural,2,0.13,25,daylight,rainy,True,True,evening,False,True,0.0,0.14
6271,6271,rural,2,0.25,70,daylight,rainy,True,False,afternoon,True,True,1.0,0.35
20359,20359,highway,2,0.76,35,night,foggy,True,True,evening,True,False,1.0,0.54
24297,24297,rural,4,0.72,35,daylight,rainy,False,False,evening,True,False,2.0,0.33
29027,29027,highway,1,0.31,45,night,clear,True,False,afternoon,True,True,2.0,0.21
5381,5381,rural,1,0.93,45,dim,clear,False,True,morning,True,True,2.0,0.36
14838,14838,highway,3,0.59,35,dim,foggy,False,True,evening,False,True,1.0,0.3
36648,36648,highway,1,0.66,25,night,clear,False,False,morning,False,False,1.0,0.35
28663,28663,highway,4,0.74,25,night,foggy,True,True,afternoon,True,False,1.0,0.58
37274,37274,highway,2,0.65,45,dim,foggy,False,False,morning,False,True,1.0,0.23
25222,25222,highway,2,0.58,35,night,foggy,False,True,morning,True,True,0.0,0.61
27712,27712,highway,1,0.24,25,daylight,rainy,False,True,evening,True,True,2.0,0.14
30548,30548,urban,3,0.57,35,daylight,rainy,True,True,afternoon,False,True,1.0,0.28
17113,17113,rural,3,0.59,35,daylight,rainy,False,False,morning,False,False,0.0,0.25
6462,6462,urban,2,0.01,35,dim,foggy,True,True,afternoon,True,True,1.0,0.09
2337,2337,rural,4,0.08,35,daylight,foggy,False,False,evening,True,False,2.0,0.12
41052,41052,rural,3,0.46,35,dim,rainy,True,True,evening,False,True,0.0,0.29
19169,19169,urban,2,0.79,70,night,foggy,False,False,morning,True,False,2.0,0.71
36357,36357,urban,1,0.73,25,night,rainy,True,True,morning,False,False,0.0,0.49
5372,5372,rural,3,0.73,60,daylight,clear,True,False,afternoon,False,True,0.0,0.47
30904,30904,highway,4,0.28,35,dim,rainy,True,True,morning,False,True,2.0,0.13
15485,15485,urban,2,0.21,45,daylight,foggy,False,False,morning,True,True,2.0,0.19
20681,20681,highway,1,0.51,60,night,foggy,True,True,afternoon,False,False,2.0,0.74
24734,24734,highway,4,0.87,35,dim,clear,True,False,afternoon,True,False,1.0,0.3
39163,39163,urban,2,0.86,60,dim,foggy,False,True,afternoon,True,True,1.0,0.55
12000,12000,urban,1,0.62,70,daylight,clear,True,False,afternoon,True,False,3.0,0.45
18121,18121,rural,4,0.41,60,night,foggy,False,False,afternoon,False,True,2.0,0.62
7512,7512,highway,4,0.24,70,dim,foggy,True,True,morning,True,True,0.0,0.37
34001,34001,urban,3,0.88,60,daylight,foggy,False,True,morning,False,False,2.0,0.47
5949,5949,highway,3,0.47,25,night,rainy,False,False,afternoon,False,True,2.0,0.45
21966,21966,highway,3,0.6,25,dim,clear,True,False,morning,True,True,1.0,0.21
41847,41847,highway,4,0.43,45,dim,foggy,False,True,afternoon,True,False,2.0,0.22
19786,19786,urban,4,0.59,45,night,foggy,True,False,morning,False,True,3.0,0.62
27507,27507,rural,3,0.65,60,daylight,clear,False,True,morning,False,False,1.0,0.41
19710,19710,highway,3,0.67,60,night,rainy,True,False,morning,True,False,0.0,0.77
18016,18016,highway,4,0.97,45,dim,foggy,True,True,afternoon,True,True,1.0,0.43
12128,12128,rural,1,0.2,25,daylight,rainy,False,True,afternoon,True,False,0.0,0.14
40100,40100,urban,4,0.77,60,dim,foggy,False,False,afternoon,True,False,2.0,0.57
17200,17200,rural,4,0.24,70,dim,clear,True,True,morning,True,False,1.0,0.26
34806,34806,highway,3,0.56,25,daylight,rainy,True,False,morning,False,False,3.0,0.36
38611,38611,urban,3,0.3,60,daylight,rainy,True,False,morning,False,True,1.0,0.39
42968,42968,rural,3,0.68,60,dim,clear,True,False,morning,True,False,1.0,0.47
15617,15617,urban,2,0.4,25,daylight,foggy,True,True,afternoon,True,True,2.0,0.24
4953,4953,highway,4,0.62,60,daylight,rainy,False,False,morning,True,True,2.0,0.51
6072,6072,urban,2,0.04,60,dim,rainy,True,True,morning,False,True,1.0,0.32
10993,10993,urban,1,0.86,60,dim,foggy,True,True,morning,True,True,1.0,0.4
35928,35928,urban,3,0.21,60,daylight,foggy,True,False,morning,True,True,1.0,0.2
11490,11490,urban,2,0.84,35,daylight,foggy,True,True,afternoon,True,False,2.0,0.37
43303,43303,highway,4,0.84,45,daylight,foggy,False,True,afternoon,False,False,2.0,0.3
43397,43397,rural,1,0.43,45,night,clear,False,True,afternoon,False,True,1.0,0.51
21055,21055,rural,1,0.51,25,daylight,foggy,True,False,evening,False,False,1.0,0.23
31457,31457,rural,2,0.68,25,night,rainy,True,True,afternoon,True,False,2.0,0.53
27024,27024,rural,1,0.71,45,dim,foggy,True,True,morning,True,False,1.0,0.27
17252,17252,highway,1,0.59,25,dim,rainy,True,False,afternoon,True,True,0.0,0.3
9209,9209,rural,2,0.87,45,dim,foggy,False,False,morning,True,True,0.0,0.37
29133,29133,urban,1,0.59,45,daylight,foggy,False,False,morning,False,False,0.0,0.31
20371,20371,urban,3,0.22,70,dim,foggy,True,False,morning,True,True,1.0,0.31
5140,5140,urban,4,0.59,25,night,clear,False,False,afternoon,False,False,1.0,0.43
18983,18983,highway,2,0.76,45,dim,rainy,True,True,evening,False,True,0.0,0.34
10898,10898,highway,4,0.68,60,dim,rainy,False,False,morning,True,True,1.0,0.45
32265,32265,highway,1,0.38,35,night,foggy,True,False,afternoon,True,True,0.0,0.44
966,966,rural,3,0.05,70,daylight,clear,False,False,afternoon,True,True,0.0,0.28
14271,14271,rural,3,0.63,70,daylight,clear,False,True,evening,False,False,1.0,0.46
37474,37474,highway,3,0.65,35,night,rainy,True,True,morning,True,False,1.0,0.54
9577,9577,rural,1,0.99,60,dim,foggy,True,False,morning,True,True,1.0,0.46
28424,28424,rural,3,0.58,25,daylight,foggy,False,False,afternoon,True,False,3.0,0.32
4793,4793,highway,4,0.67,35,dim,rainy,False,True,afternoon,False,True,3.0,0.49
35815,35815,urban,4,0.92,35,dim,foggy,True,True,evening,True,True,1.0,0.44
42218,42218,rural,2,0.66,60,night,clear,False,True,afternoon,False,True,1.0,0.52
39415,39415,urban,2,0.05,60,daylight,foggy,False,False,evening,False,False,2.0,0.34
34558,34558,rural,3,0.65,60,night,foggy,False,True,afternoon,True,False,2.0,0.68
23514,23514,urban,3,0.18,25,night,foggy,False,True,morning,False,False,1.0,0.36
22253,22253,urban,4,0.81,45,dim,rainy,True,True,evening,True,False,0.0,0.46
2070,2070,highway,1,0.38,70,dim,clear,True,False,afternoon,True,True,1.0,0.37
8737,8737,highway,1,0.62,25,daylight,clear,True,True,morning,True,True,2.0,0.13
8873,8873,rural,4,0.35,25,dim,rainy,True,False,morning,False,True,1.0,0.15
33382,33382,rural,4,0.29,70,daylight,clear,False,False,morning,False,False,1.0,0.22
15056,15056,urban,4,0.57,60,daylight,foggy,True,False,morning,True,True,1.0,0.43
26585,26585,highway,1,0.6,45,dim,foggy,True,False,morning,False,True,0.0,0.32
29101,29101,urban,2,0.93,45,daylight,rainy,True,True,afternoon,True,True,3.0,0.37
38798,38798,urban,4,0.79,70,dim,clear,True,False,morning,False,False,2.0,0.42
39860,39860,rural,4,0.88,70,dim,foggy,False,True,morning,True,False,0.0,0.62
29921,29921,highway,1,0.49,60,dim,rainy,True,False,morning,True,False,2.0,0.43
24284,24284,highway,4,0.58,35,night,clear,False,False,afternoon,False,False,0.0,0.39
2584,2584,highway,1,0.34,45,daylight,foggy,True,False,evening,True,False,2.0,0.16
43261,43261,urban,3,0.21,70,daylight,clear,False,True,afternoon,False,False,2.0,0.23
28019,28019,urban,4,0.78,60,night,clear,True,True,afternoon,True,True,2.0,0.66
19388,19388,highway,4,0.57,25,dim,rainy,False,True,morning,True,True,1.0,0.38
42145,42145,urban,1,0.45,70,dim,foggy,False,True,morning,True,True,2.0,0.46
3266,3266,highway,3,0.53,45,night,foggy,True,True,evening,False,True,1.0,0.48
39137,39137,highway,2,0.82,45,night,rainy,False,False,afternoon,True,False,1.0,0.55
11976,11976,rural,1,0.52,45,night,foggy,False,True,morning,True,True,1.0,0.5
34524,34524,rural,1,0.45,70,daylight,foggy,False,False,afternoon,True,False,1.0,0.38
26952,26952,rural,3,0.84,45,dim,clear,True,True,morning,False,True,0.0,0.31
32123,32123,rural,4,0.15,60,daylight,clear,True,True,evening,True,True,1.0,0.19
11374,11374,highway,2,0.95,25,dim,clear,False,True,morning,True,True,3.0,0.47
31234,31234,rural,3,0.65,25,dim,foggy,True,False,morning,True,True,1.0,0.32
36449,36449,urban,3,0.74,60,night,foggy,False,True,evening,True,True,1.0,0.77
3516,3516,highway,1,0.6,45,daylight,rainy,False,True,morning,False,True,1.0,0.3
16269,16269,urban,1,0.03,35,daylight,rainy,False,True,morning,False,False,0.0,0.16
42273,42273,urban,4,0.17,60,dim,clear,True,False,afternoon,False,False,1.0,0.28
27032,27032,highway,4,0.0,70,daylight,clear,False,False,afternoon,False,True,2.0,0.16
41788,41788,rural,2,0.65,45,night,clear,False,True,evening,True,True,0.0,0.35
24490,24490,rural,4,0.65,35,daylight,rainy,False,False,afternoon,False,False,1.0,0.24
36587,36587,urban,4,0.93,35,dim,clear,True,True,morning,True,False,0.0,0.26
24452,24452,highway,4,0.38,45,night,rainy,True,False,afternoon,True,True,1.0,0.48
20840,20840,highway,2,0.65,45,dim,rainy,True,True,morning,False,True,2.0,0.29
1431,1431,rural,1,0.58,35,daylight,rainy,True,False,morning,True,False,0.0,0.25
31687,31687,rural,1,0.93,60,night,rainy,True,True,morning,True,True,0.0,0.79
16236,16236,urban,4,0.23,35,night,clear,False,True,afternoon,False,False,1.0,0.38
31804,31804,urban,2,0.47,45,night,rainy,True,False,afternoon,False,True,0.0,0.46
15273,15273,rural,2,0.84,45,night,rainy,False,True,evening,True,True,3.0,0.71
7993,7993,rural,2,0.19,45,night,clear,True,True,afternoon,False,False,1.0,0.27
18734,18734,urban,2,0.22,45,night,rainy,True,True,morning,True,False,1.0,0.42
8702,8702,rural,1,0.3,35,daylight,clear,True,False,afternoon,False,True,2.0,0.04
35795,35795,rural,3,0.52,45,night,clear,True,True,afternoon,False,True,1.0,0.25
38920,38920,rural,1,0.78,45,night,foggy,True,True,evening,True,False,2.0,0.64
37914,37914,urban,2,0.25,25,daylight,clear,False,True,morning,True,False,0.0,0.06
7970,7970,rural,1,0.29,45,night,clear,True,False,afternoon,True,False,2.0,0.24
21501,21501,rural,3,0.57,45,night,foggy,True,True,evening,True,False,1.0,0.51
27121,27121,rural,1,0.6,45,night,clear,True,False,afternoon,False,True,1.0,0.41
30888,30888,rural,3,0.82,35,dim,rainy,True,True,evening,False,True,1.0,0.31
28853,28853,rural,1,0.67,25,dim,foggy,False,True,afternoon,True,False,1.0,0.32
24495,24495,rural,4,0.04,35,night,foggy,False,False,morning,True,True,2.0,0.37
4854,4854,urban,1,0.78,45,night,foggy,True,True,afternoon,False,False,0.0,0.46
35283,35283,highway,3,0.17,70,night,rainy,False,True,morning,False,True,1.0,0.67
20105,20105,highway,4,0.33,25,night,clear,False,True,morning,True,False,2.0,0.29
10210,10210,highway,1,0.28,45,daylight,foggy,True,True,afternoon,True,False,2.0,0.26
39977,39977,urban,1,0.91,25,daylight,clear,True,True,afternoon,True,True,3.0,0.53
11165,11165,rural,2,0.59,60,daylight,foggy,False,True,afternoon,False,True,2.0,0.38
9607,9607,rural,2,0.76,70,daylight,foggy,False,True,morning,False,False,1.0,0.4
9687,9687,highway,4,0.69,70,dim,clear,False,False,morning,False,True,3.0,0.42
30304,30304,rural,4,0.19,60,dim,clear,True,True,morning,False,True,1.0,0.18
38131,38131,urban,1,0.77,35,daylight,rainy,False,False,morning,True,False,1.0,0.3
11921,11921,rural,1,0.37,45,night,rainy,True,True,morning,False,True,2.0,0.46
20085,20085,rural,1,0.75,70,night,clear,True,False,morning,True,True,2.0,0.58
12596,12596,highway,3,0.96,25,daylight,clear,False,False,evening,True,True,1.0,0.34
25084,25084,urban,4,0.33,45,night,foggy,True,False,evening,True,True,2.0,0.45
29697,29697,urban,3,0.52,45,dim,rainy,False,False,evening,True,False,2.0,0.21
1203,1203,rural,3,0.48,25,dim,clear,True,False,afternoon,False,False,0.0,0.13
2812,2812,highway,1,0.29,45,night,foggy,True,False,evening,False,True,1.0,0.44
23099,23099,rural,3,0.81,70,dim,clear,True,True,morning,False,False,1.0,0.4
3766,3766,rural,3,0.25,25,night,rainy,False,False,morning,True,False,2.0,0.4
11419,11419,highway,3,0.51,25,daylight,clear,True,True,morning,False,True,0.0,0.11
14125,14125,rural,1,0.59,60,daylight,rainy,True,True,afternoon,True,True,0.0,0.46
29806,29806,rural,4,0.76,60,night,rainy,True,True,afternoon,False,True,1.0,0.63
36566,36566,highway,2,0.78,60,dim,foggy,True,False,afternoon,True,False,1.0,0.58
37677,37677,urban,2,0.09,70,daylight,clear,True,True,morning,False,True,1.0,0.25
10495,10495,urban,4,0.53,45,night,rainy,True,True,afternoon,False,True,1.0,0.43
5084,5084,rural,2,0.12,60,night,clear,True,False,morning,False,False,2.0,0.33
22181,22181,rural,4,0.32,60,dim,rainy,True,False,afternoon,True,False,1.0,0.39
29342,29342,urban,2,0.24,35,night,foggy,False,True,morning,True,True,2.0,0.33
23744,23744,urban,4,0.14,45,dim,clear,True,True,afternoon,False,False,1.0,0.11
26817,26817,rural,2,0.69,25,daylight,rainy,False,True,morning,True,False,1.0,0.32
38108,38108,rural,2,0.85,60,daylight,clear,True,False,evening,True,True,2.0,0.48
16961,16961,highway,3,0.19,35,dim,rainy,True,False,morning,False,False,2.0,0.18
1591,1591,urban,3,0.07,45,night,foggy,False,True,evening,False,False,0.0,0.4
22862,22862,highway,3,0.03,45,daylight,foggy,False,True,afternoon,False,False,1.0,0.16
17473,17473,highway,3,0.68,35,night,clear,True,True,evening,False,False,0.0,0.35
32017,32017,rural,3,0.78,25,night,clear,True,False,morning,True,False,1.0,0.45
14105,14105,rural,4,0.38,70,daylight,clear,True,True,morning,True,False,1.0,0.29
26596,26596,urban,1,0.08,35,dim,foggy,True,True,afternoon,True,True,1.0,0.11
11722,11722,urban,3,0.1,35,night,clear,True,True,evening,False,False,1.0,0.22
31584,31584,urban,1,0.43,35,daylight,rainy,False,True,afternoon,False,True,1.0,0.28
6164,6164,highway,3,0.16,25,dim,rainy,True,True,evening,True,False,1.0,0.19
10098,10098,urban,4,0.04,45,dim,foggy,False,True,morning,True,True,0.0,0.04
9158,9158,highway,3,0.23,45,night,clear,False,False,morning,True,True,1.0,0.25
16986,16986,highway,4,0.9,45,daylight,clear,True,True,evening,False,True,0.0,0.28
8684,8684,urban,4,0.36,25,night,rainy,True,False,morning,True,False,2.0,0.2
28734,28734,rural,1,0.52,70,night,clear,True,False,evening,False,False,1.0,0.54
43354,43354,urban,1,0.0,70,daylight,clear,True,True,morning,True,False,1.0,0.19
5147,5147,urban,3,0.09,25,daylight,clear,False,False,afternoon,True,True,1.0,0.02
27639,27639,rural,4,0.12,35,dim,clear,True,True,afternoon,False,False,2.0,0.12
16120,16120,urban,1,0.03,45,daylight,rainy,False,False,afternoon,True,True,2.0,0.07
10141,10141,highway,2,0.09,25,daylight,clear,True,False,morning,False,True,2.0,0.02
9716,9716,rural,2,0.19,60,daylight,clear,False,True,morning,False,False,1.0,0.25
1331,1331,urban,2,0.52,60,night,foggy,False,False,afternoon,True,True,0.0,0.68
22142,22142,rural,3,0.84,25,night,foggy,True,True,afternoon,False,False,2.0,0.52
9296,9296,urban,2,0.84,25,daylight,foggy,False,True,morning,False,False,0.0,0.36
9139,9139,highway,1,0.53,60,dim,foggy,False,True,morning,False,True,2.0,0.53
23238,23238,highway,3,0.51,45,dim,rainy,False,False,evening,True,True,1.0,0.23
9268,9268,urban,4,0.08,45,night,foggy,False,False,evening,False,True,0.0,0.4
